"Id","App #","Language","Behavior Type","Key","Type","Translation","Has Child","Parent","Value"
"3","7","1","0","Enter_Account3.au","1","Choose your Location and Account","false",,
"4","7","1","0","ConfirmAccountANew.au","2","Please confirm that you are entering a service for:<br><br>","false",,
"5","7","1","0","EnterStoreNumberJ.au","1","Please enter the","false",,
"6","7","1","0","SiteNumberConfirmation.au","2","Please confirm your site number is<br>","false",,
"7","7","1","0","EnterCompletedServiceType.au","1","Please enter the type of service completed:","false",,
"8","7","1","0","EnterSiteNumber.au","1"," digit Site Number.","false",,
"9","7","1","0","LastServiceOfDay.au","2","Is this your last service of the day?","false",,
"10","7","1","1","IncorrectCallFlow.au","1","The type of service chosen is not available for the account chosen","false",,
"23","7","1","0","ConfirmationNumberCheckOut.au","1","Your confirmation number is:<br><br>","false",,
"24","7","1","1","ConfirmationNumberDetailsWithPhotos.au","1","<br><br>Please submit this confirmation with your billing information<br><br>To end your session, please close your browser","false",,
"25","7","1","0","IncorrectID1J.au","1","The account number you entered","false",,
"26","7","1","0","IncorrectID2J.au","1"," is invalid.<br>Please enter a 3 digit Account Code.<br>If you have a 2 digit account code, add a preceeding zero","false",,
"28","7","1","0","6-EnterStoreNumber-USM.au","1","English","false","2","1"
"29","7","1","0","6-EnterStoreNumber-USM.au","1","Español","false","2","2"
"134","7","1","0","ConfirmationNumberIs.au","1","Your confirmation number is:<br><br>","false",,
"255","7","1","0","084.au","1","Citizens Bank","false",,
"257","7","1","0","166A.au","1","You performed a Full Service including Plowing and Salting Parking Lots and Walks","false","256","1"
"258","7","1","0","084-1.au","2","Please confirm:<br>You performed a Full Service including Plowing and Salting Parking Lots and Walks","false",,
"259","7","1","0","166A.au","1","You performed a Salt Only Service","false","256","2"
"260","7","1","0","084-2.au","2","Please confirm: You performed a Salt Only Service","false",,
"261","7","1","0","166A.au","1","No service is required today","false","256","8"
"262","7","1","0","084-8.au","2","Please confirm:<br>No service is required today","false",,
"265","7","1","0","31J.au","1","Home Depot","false",,
